iter	Passed	Remaining
413	3275	4636
414	3282	4627
415	3293	4623
416	3302	4617
417	3311	4611
418	3325	4611
419	3333	4603
420	3342	4597
421	3351	4590
422	3358	4581
423	3368	4575
424	3377	4569
425	3389	4566
426	3395	4556
427	3405	4550
428	3413	4543
429	3422	4537
430	3433	4532
431	3441	4524
432	3452	4521
433	3460	4512
434	3470	4508
435	3480	4502
436	3489	4495
437	3500	4491
438	3507	4482
439	3520	4481
440	3530	4475
441	3539	4468
442	3553	4467
443	3562	4461
444	3571	4454
445	3583	4450
446	3592	4444
447	3601	4437
448	3613	4434
449	3620	4425
450	3634	4423
451	3642	4416
452	3654	4412
453	3666	4409
454	3675	4402
455	3683	4394
456	3694	4389
457	3702	4381
458	3714	4378
459	3722	4370
460	3731	4362
461	3741	4357
462	3749	4349
463	3762	4346
464	3770	4337
465	3781	4332
466	3790	4326
467	3798	4318
468	3808	4312
469	3817	4304
470	3829	4300
471	3838	4293
472	3849	4288
473	3858	4282
474	3866	4273
475	3876	4267
476	3885	4260
477	3897	4256
478	3907	4250
479	3917	4243
480	3926	4236
481	3937	4231
482	3946	4224
483	3959	4221
484	3969	4214
485	3977	4206
486	3990	4203
487	3998	4195
488	4008	4188
489	4019	4183
490	4030	4177
491	4039	4170
492	4049	4164
493	4058	4157
494	4070	4153
495	4082	4148
496	4092	4141
497	4104	4137
498	4113	4130
499	4122	4122
500	4131	4114
501	4139	4106
502	4147	4098
503	4154	4088
504	4161	4079
505	4168	4069
506	4176	4060
507	4183	4051
508	4189	4041
509	4197	4033
510	4204	4023
511	4211	4014
512	4219	4005
513	4226	3996
514	4233	3986
515	4239	3976
516	4247	3967
517	4253	3958
518	4261	3949
519	4268	3939
520	4276	3931
521	4283	3922
522	4291	3913
523	4298	3904
524	4305	3895
525	4313	3887
526	4320	3878
527	4331	3872
528	4340	3864
529	4348	3855
530	4357	3849
531	4365	3840
532	4377	3835
533	4385	3826
534	4394	3819
535	4404	3812
536	4413	3805
537	4423	3798
538	4431	3789
539	4439	3781
540	4447	3773
541	4458	3767
542	4466	3758
543	4475	3751
544	4482	3742
545	4493	3736
546	4502	3728
547	4511	3720
548	4519	3712
549	4526	3703
550	4535	3695
551	4542	3686
552	4551	3678
553	4557	3669
554	4564	3660
555	4572	3651
556	4579	3641
557	4586	3633
558	4593	3623
559	4602	3616
560	4609	3607
561	4618	3599
562	4624	3589
563	4632	3581
564	4640	3572
565	4647	3563
566	4654	3554
567	4661	3545
568	4668	3536
569	4674	3526
570	4683	3518
571	4691	3510
572	4702	3504
573	4713	3497
574	4720	3489
575	4728	3480
576	4734	3471
577	4741	3461
578	4748	3452
579	4755	3443
580	4762	3434
581	4769	3425
582	4776	3416
583	4782	3406
584	4790	3398
585	4797	3389
586	4803	3379
587	4810	3370
588	4817	3361
589	4823	3352
590	4831	3343
591	4838	3334
592	4846	3326
593	4854	3317
594	4863	3310
595	4870	3301
596	4880	3294
597	4887	3285
598	4897	3278
599	4907	3271
600	4915	3263
601	4926	3257
602	4933	3248
603	4944	3241
604	4951	3232
605	4961	3225
606	4968	3217
607	4977	3209
608	4985	3201
609	4995	3193
610	5003	3185
611	5011	3177
612	5020	3169
613	5027	3160
614	5035	3152
615	5042	3143
616	5051	3135
617	5060	3127
618	5068	3119
619	5075	3110
620	5082	3101
621	5089	3092
622	5095	3083
623	5104	3075
624	5110	3066
625	5119	3058
626	5126	3049
627	5134	3041
628	5142	3033
629	5150	3025
630	5157	3015
631	5165	3007
632	5172	2999
633	5180	2990
634	5187	2981
635	5193	2972
636	5201	2964
637	5208	2955
638	5216	2946
639	5223	2938
640	5231	2930
641	5238	2921
642	5245	2912
643	5252	2903
644	5258	2894
645	5265	2885
646	5272	2876
647	5279	2867
648	5286	2859
649	5293	2850
650	5301	2841
651	5307	2832
652	5315	2824
653	5322	2815
654	5330	2807
655	5343	2802
656	5352	2794
657	5361	2786
658	5370	2779
659	5380	2771
660	5388	2763
661	5398	2756
662	5405	2747
663	5415	2740
664	5422	2731
665	5431	2724
666	5439	2715
667	5448	2708
668	5455	2699
669	5464	2691
670	5471	2682
671	5480	2674
672	5487	2666
673	5497	2658
674	5504	2650
675	5513	2642
676	5520	2633
677	5529	2625
678	5536	2617
679	5545	2609
680	5552	2600
681	5562	2593
682	5570	2585
683	5579	2577
684	5588	2569
685	5595	2561
686	5605	2553
687	5612	2545
688	5621	2537
689	5628	2528
690	5636	2520
691	5643	2511
692	5650	2503
693	5658	2494
694	5664	2485
695	5672	2477
696	5679	2469
697	5688	2461
698	5696	2452
699	5707	2445
700	5715	2437
701	5723	2429
702	5730	2421
703	5739	2412
704	5746	2404
705	5753	2395
706	5760	2387
707	5769	2379
708	5777	2371
709	5785	2363
710	5792	2354
711	5802	2346
712	5808	2338
713	5817	2330
714	5825	2322
715	5834	2314
716	5842	2306
717	5851	2298
718	5860	2290
719	5869	2282
720	5878	2274
721	5887	2266
722	5897	2259
723	5905	2251
724	5915	2243
725	5923	2235
726	5934	2228
727	5942	2220
728	5952	2212
729	5960	2204
730	5968	2196
731	5976	2188
732	5985	2180
733	5995	2172
734	6003	2164
735	6012	2156
736	6020	2148
737	6029	2140
738	6037	2132
739	6047	2124
740	6055	2116
741	6064	2108
742	6072	2100
743	6081	2092
744	6089	2084
745	6098	2076
746	6106	2068
747	6114	2059
748	6122	2051
749	6130	2043
750	6138	2035
751	6147	2027
752	6156	2019
753	6163	2011
754	6173	2003
755	6180	1994
756	6189	1986
757	6197	1978
758	6206	1970
759	6213	1962
760	6222	1954
761	6229	1945
762	6238	1937
763	6245	1929
764	6254	1921
765	6261	1912
766	6269	1904
767	6275	1895
768	6284	1887
769	6291	1879
770	6298	1870
771	6306	1862
772	6315	1854
773	6323	1846
774	6330	1837
775	6340	1830
776	6348	1821
777	6356	1813
778	6364	1805
779	6371	1797
780	6378	1788
781	6386	1780
782	6393	1771
783	6401	1763
784	6408	1755
785	6417	1747
786	6423	1738
787	6432	1730
788	6439	1722
789	6449	1714
790	6457	1706
791	6466	1698
792	6473	1689
793	6483	1682
794	6491	1673
795	6501	1666
796	6509	1658
797	6519	1650
798	6527	1642
799	6536	1634
800	6544	1626
801	6553	1617
802	6562	1609
803	6569	1601
804	6578	1593
805	6586	1585
806	6595	1577
807	6602	1568
808	6610	1560
809	6617	1552
810	6625	1544
811	6632	1535
812	6639	1527
813	6647	1518
814	6654	1510
815	6662	1502
816	6669	1493
817	6679	1486
818	6686	1477
819	6694	1469
820	6701	1461
821	6710	1453
822	6717	1444
823	6725	1436
824	6732	1428
825	6741	1420
826	6747	1411
827	6756	1403
828	6762	1394
829	6770	1386
830	6776	1378
831	6783	1369
832	6791	1361
833	6797	1353
834	6806	1344
835	6814	1336
836	6822	1328
837	6829	1320
838	6837	1312
839	6845	1303
840	6854	1295
841	6861	1287
842	6869	1279
843	6876	1270
844	6884	1262
845	6890	1254
846	6897	1245
847	6905	1237
848	6911	1229
849	6919	1221
850	6925	1212
851	6934	1204
852	6941	1196
853	6950	1188
854	6957	1179
855	6965	1171
856	6972	1163
857	6980	1155
858	6988	1147
859	6995	1138
860	7002	1130
861	7009	1122
862	7018	1114
863	7025	1105
864	7033	1097
865	7040	1089
866	7049	1081
867	7056	1073
868	7064	1064
869	7071	1056
870	7078	1048
871	7085	1040
872	7092	1031
873	7100	1023
874	7107	1015
875	7115	1007
876	7122	998
877	7131	990
878	7137	982
879	7147	974
880	7153	966
881	7162	958
882	7169	949
883	7176	941
884	7183	933
885	7191	925
886	7199	917
887	7205	908
888	7214	900
889	7220	892
890	7228	884
891	7236	876
892	7244	868
893	7250	859
894	7259	851
895	7266	843
896	7274	835
897	7281	827
898	7289	818
899	7296	810
900	7303	802
901	7310	794
902	7317	786
903	7325	777
904	7332	769
905	7340	761
906	7346	753
907	7354	745
908	7361	736
909	7370	728
910	7377	720
911	7385	712
912	7393	704
913	7399	696
914	7407	688
915	7413	679
916	7422	671
917	7428	663
918	7437	655
919	7443	647
920	7451	639
921	7458	630
922	7465	622
923	7473	614
924	7479	606
925	7488	598
926	7494	590
927	7503	582
928	7510	574
929	7519	565
930	7526	557
931	7535	549
932	7542	541
933	7550	533
934	7558	525
935	7567	517
936	7574	509
937	7582	501
938	7589	493
939	7597	484
940	7605	476
941	7614	468
942	7621	460
943	7630	452
944	7637	444
945	7645	436
946	7653	428
947	7660	420
948	7668	412
949	7677	404
950	7684	395
951	7691	387
952	7700	379
953	7707	371
954	7717	363
955	7726	355
956	7735	347
957	7743	339
958	7752	331
959	7760	323
960	7769	315
961	7779	307
962	7787	299
963	7797	291
964	7804	283
965	7816	275
966	7825	267
967	7834	258
968	7844	250
969	7852	242
970	7862	234
971	7870	226
972	7880	218
973	7888	210
974	7895	202
975	7905	194
976	7912	186
977	7919	178
978	7928	170
979	7935	161
980	7943	153
981	7950	145
982	7959	137
983	7966	129
984	7975	121
985	7983	113
986	7993	105
987	7999	97
988	8010	89
989	8017	80
990	8025	72
991	8032	64
992	8042	56
993	8049	48
994	8059	40
995	8065	32
996	8074	24
997	8081	16
998	8089	8
999	8097	0
